"","latitude","longitude","neighbourhood_group","room_type","price","minimum_nights"
"72",40.72162,-73.98008,"Manhattan","Entire home/apt",230,9
"73",40.76342,-73.98865,"Manhattan","Private room",51,7
"74",40.83139,-73.94095,"Manhattan","Private room",65,2
"75",40.68346,-73.96374,"Brooklyn","Private room",105,2
"76",40.72828,-73.98801,"Manhattan","Entire home/apt",190,5
"77",40.76865,-73.95058,"Manhattan","Private room",200,1
"78",40.75038,-73.90334,"Queens","Private room",70,30
"79",40.6932,-73.97267,"Brooklyn","Private room",95,3
"80",40.74138,-74.00197,"Manhattan","Private room",150,3
"81",40.71154,-73.96112,"Brooklyn","Private room",145,3
"82",40.82915,-73.95136,"Manhattan","Entire home/apt",110,31
"83",40.71851,-73.98892,"Manhattan","Entire home/apt",285,5
"84",40.65401,-73.96323,"Brooklyn","Entire home/apt",130,6
"85",40.7114,-73.98794,"Manhattan","Private room",94,30
"86",40.69723,-73.99268,"Brooklyn","Entire home/apt",800,1
"87",40.71833,-73.95748,"Brooklyn","Entire home/apt",105,3
"88",40.72334,-73.9844,"Manhattan","Private room",60,3
"89",40.72912,-73.98057,"Manhattan","Private room",50,1
"90",40.71156,-73.96218,"Brooklyn","Private room",85,3
"91",40.70032,-73.9383,"Brooklyn","Private room",65,4
"92",40.68233,-73.97261,"Brooklyn","Entire home/apt",131,4
"93",40.68634,-73.966,"Brooklyn","Private room",98,7
"94",40.68035,-73.97162,"Brooklyn","Entire home/apt",250,7
"95",40.70984,-73.95775,"Brooklyn","Entire home/apt",100,5
"96",40.70093,-73.92609,"Brooklyn","Entire home/apt",105,3
"97",40.79764,-73.96177,"Manhattan","Entire home/apt",140,3
"98",40.82803,-73.94731,"Manhattan","Private room",89,1
"99",40.74008,-74.00271,"Manhattan","Private room",98,30
"100",40.68413,-73.92357,"Brooklyn","Entire home/apt",125,7
"101",40.82279,-73.95139,"Manhattan","Private room",60,3
"102",40.67967,-74.00154,"Brooklyn","Entire home/apt",175,2
"103",40.83927,-73.94281,"Manhattan","Private room",65,2
"104",40.73096,-74.00319,"Manhattan","Entire home/apt",500,4
"105",40.71332,-73.94177,"Brooklyn","Private room",101,3
"106",40.66941,-73.98109,"Brooklyn","Entire home/apt",220,30
"107",40.68373,-73.92377,"Brooklyn","Entire home/apt",125,90
"108",40.71459,-73.94844,"Brooklyn","Entire home/apt",80,30
"109",40.8092,-73.94421,"Manhattan","Private room",100,2
"110",40.68157,-73.98989,"Brooklyn","Entire home/apt",200,30
"111",40.75527,-73.99291,"Manhattan","Private room",59,2
"112",40.68698,-73.96572,"Brooklyn","Private room",125,2
"113",40.7288,-73.98192,"Manhattan","Entire home/apt",140,7
"114",40.66853,-73.98912,"Brooklyn","Entire home/apt",120,30
"115",40.7254,-73.98157,"Manhattan","Entire home/apt",350,2
"116",40.74294,-73.98009,"Manhattan","Entire home/apt",199,5
"117",40.71942,-73.95748,"Brooklyn","Entire home/apt",325,3
"118",40.77823,-73.97637,"Manhattan","Entire home/apt",235,6
"119",40.72555,-73.97965,"Manhattan","Entire home/apt",225,1
"120",40.66831,-73.98604,"Brooklyn","Private room",99,2
"121",40.82754,-73.94919,"Manhattan","Entire home/apt",170,2
"122",40.66499,-73.97925,"Brooklyn","Entire home/apt",400,2
"123",40.77842,-73.97556,"Manhattan","Entire home/apt",170,7
"124",40.72245,-73.98527,"Manhattan","Entire home/apt",100,4
"125",40.65593,-73.96053,"Brooklyn","Private room",75,2
"126",40.71923,-73.96468,"Brooklyn","Private room",90,1
"127",40.778,-73.94822,"Manhattan","Entire home/apt",150,5
"128",40.85879,-73.93128,"Manhattan","Private room",85,15
"129",40.68332,-73.9547,"Brooklyn","Private room",70,3
"130",40.81618,-73.94894,"Manhattan","Entire home/apt",120,3
"131",40.68414,-73.96351,"Brooklyn","Private room",89,3
"132",40.72392,-73.99143,"Manhattan","Entire home/apt",185,5
"133",40.73494,-73.9503,"Brooklyn","Private room",50,3
"134",40.71341,-73.98856,"Manhattan","Entire home/apt",105,3
"135",40.76754,-73.98399,"Manhattan","Private room",130,2
"136",40.73442,-74.00303,"Manhattan","Entire home/apt",115,29
"137",40.63188,-73.93248,"Brooklyn","Private room",77,2
"138",40.6873,-73.9634,"Brooklyn","Private room",76,2
"139",40.68296,-73.93662,"Brooklyn","Entire home/apt",125,3
"140",40.6863,-73.96765,"Brooklyn","Private room",135,4
"141",40.73409,-73.95348,"Brooklyn","Entire home/apt",250,29
"142",40.71561,-73.94835,"Brooklyn","Entire home/apt",199,3
"143",40.6857,-73.99183,"Brooklyn","Entire home/apt",140,2
"144",40.74028,-73.83168,"Queens","Private room",140,2
"145",40.68281,-73.93524,"Brooklyn","Entire home/apt",115,3
"146",40.71596,-73.93938,"Brooklyn","Entire home/apt",160,3
"147",40.71492,-73.95935,"Brooklyn","Entire home/apt",195,4
"148",40.72354,-73.98295,"Manhattan","Entire home/apt",195,3
"149",40.71165,-73.96087,"Brooklyn","Private room",80,3
"150",40.69101,-73.97312,"Brooklyn","Private room",44,8
"151",40.73474,-74.00101,"Manhattan","Private room",156,4
"152",40.67386,-73.96641,"Brooklyn","Private room",85,15
"153",40.71536,-73.96057,"Brooklyn","Private room",125,3
"154",40.6741,-73.96595,"Brooklyn","Entire home/apt",115,15
"155",40.79295,-73.93997,"Manhattan","Private room",69,2
"156",40.73226,-74.00401,"Manhattan","Entire home/apt",225,45
"157",40.71363,-73.96398,"Brooklyn","Entire home/apt",125,6
"158",40.77711,-73.9527,"Manhattan","Entire home/apt",219,4
"159",40.68559,-73.98094,"Brooklyn","Entire home/apt",475,3
"160",40.77456,-73.95323,"Manhattan","Entire home/apt",99,1
"161",40.71088,-73.95055,"Brooklyn","Private room",69,4
"162",40.74559,-73.92313,"Queens","Private room",79,30
"163",40.68306,-73.94659,"Brooklyn","Entire home/apt",135,2
"164",40.70207,-73.98571,"Brooklyn","Private room",250,3
"165",40.76123,-73.9642,"Manhattan","Entire home/apt",250,3
"166",40.66858,-73.99083,"Brooklyn","Entire home/apt",250,2
"167",40.82704,-73.94907,"Manhattan","Entire home/apt",80,3
"168",40.68843,-73.96408,"Brooklyn","Private room",70,2
"169",40.6783,-74.00135,"Brooklyn","Entire home/apt",165,2
"170",40.64524,-74.08088,"Staten Island","Private room",70,2
"171",40.70641,-73.91765,"Brooklyn","Private room",50,2
"172",40.83232,-73.93184,"Bronx","Private room",40,1
"173",40.71045,-73.9677,"Brooklyn","Entire home/apt",150,2
"174",40.72518,-73.98034,"Manhattan","Private room",125,1
"175",40.70666,-74.01374,"Manhattan","Entire home/apt",196,3
"176",40.69098,-73.97113,"Brooklyn","Private room",110,2
"177",40.73756,-74.00405,"Manhattan","Entire home/apt",170,3
"178",40.81526,-73.94791,"Manhattan","Entire home/apt",165,3
"179",40.73423,-74.0046,"Manhattan","Entire home/apt",150,26
"180",40.82374,-73.9373,"Manhattan","Entire home/apt",100,2
"181",40.68863,-73.97691,"Brooklyn","Private room",65,2
"182",40.70382,-73.89797,"Queens","Entire home/apt",350,8
"183",40.80549,-73.95924,"Manhattan","Private room",99,4
"184",40.71627,-73.9587,"Brooklyn","Entire home/apt",200,4
"185",40.67994,-73.97863,"Brooklyn","Entire home/apt",150,5
"186",40.67992,-73.9475,"Brooklyn","Private room",90,3
"187",40.67868,-73.97307,"Brooklyn","Private room",120,3
"188",40.76834,-73.95334,"Manhattan","Private room",75,3
"189",40.68237,-73.9415,"Brooklyn","Entire home/apt",175,26
"190",40.74031,-73.99999,"Manhattan","Entire home/apt",125,3
"191",40.76307,-73.99665,"Manhattan","Entire home/apt",275,1
"192",40.71882,-73.98852,"Manhattan","Entire home/apt",299,2
"193",40.6693,-73.98804,"Brooklyn","Entire home/apt",135,5
"194",40.77333,-73.95199,"Manhattan","Private room",130,14
"195",40.72319,-73.99201,"Manhattan","Private room",83,1
"196",40.74859,-73.99671,"Manhattan","Private room",123,1
"197",40.67252,-73.76597,"Queens","Private room",55,2
"198",40.76244,-73.99271,"Manhattan","Entire home/apt",195,5
"199",40.69546,-73.93503,"Brooklyn","Private room",80,2
"200",40.71722,-73.87856,"Queens","Entire home/apt",98,30
"201",40.70234,-73.89816,"Queens","Private room",140,7
"202",40.71546,-73.87854,"Queens","Entire home/apt",265,7
"203",40.7195,-73.95976,"Brooklyn","Entire home/apt",249,2
"204",40.76548,-73.98474,"Manhattan","Shared room",105,6
"205",40.80234,-73.95603,"Manhattan","Private room",200,30
"206",40.6787,-73.97262,"Brooklyn","Private room",100,2
"207",40.81035,-73.94598,"Manhattan","Entire home/apt",121,1
"208",40.83075,-73.93058,"Bronx","Private room",45,1
"209",40.79958,-73.94275,"Manhattan","Private room",100,5
"210",40.71625,-73.93845,"Brooklyn","Entire home/apt",140,2
"211",40.6829,-73.93549,"Brooklyn","Private room",71,2
"212",40.72773,-73.99134,"Manhattan","Private room",130,2
"213",40.72861,-74.0049,"Manhattan","Entire home/apt",199,5
"214",40.70979,-73.95162,"Brooklyn","Private room",69,4
"215",40.68656,-73.97525,"Brooklyn","Private room",68,3
"216",40.72752,-73.98432,"Manhattan","Entire home/apt",130,1
"217",40.729,-73.95829,"Brooklyn","Entire home/apt",195,2
"218",40.81219,-73.94499,"Manhattan","Private room",64,1
"219",40.77185,-73.90502,"Queens","Entire home/apt",140,2
"220",40.68926,-73.99386,"Brooklyn","Entire home/apt",159,2
"221",40.72821,-73.98701,"Manhattan","Entire home/apt",189,3
"222",40.7672,-73.98508,"Manhattan","Entire home/apt",250,3
"223",40.73012,-73.99053,"Manhattan","Entire home/apt",239,3
"224",40.7403,-73.98498,"Manhattan","Entire home/apt",305,2
"225",40.80931,-73.94343,"Manhattan","Entire home/apt",155,3
"226",40.8251,-73.94287,"Manhattan","Private room",60,1
"227",40.6585,-73.98397,"Brooklyn","Private room",135,2
"228",40.76193,-73.9501,"Manhattan","Private room",120,7
"229",40.72052,-73.98589,"Manhattan","Entire home/apt",150,3
"230",40.70411,-73.89934,"Queens","Entire home/apt",140,14
"231",40.73401,-73.95967,"Brooklyn","Entire home/apt",135,2
"232",40.71756,-73.99503,"Manhattan","Entire home/apt",250,4
"233",40.7589,-73.96991,"Manhattan","Entire home/apt",250,30
"234",40.72003,-74.00262,"Manhattan","Entire home/apt",500,4
"235",40.73194,-73.99474,"Manhattan","Entire home/apt",225,5
"236",40.79163,-73.94573,"Manhattan","Entire home/apt",125,28
"237",40.8118,-73.94434,"Manhattan","Private room",92,1
"238",40.81583,-73.94707,"Manhattan","Private room",175,2
"239",40.72654,-73.98049,"Manhattan","Entire home/apt",99,2
"240",40.80021,-73.96071,"Manhattan","Entire home/apt",195,4
"241",40.80942,-73.93936,"Manhattan","Entire home/apt",140,3
"242",40.71961,-73.9954,"Manhattan","Entire home/apt",135,2
"243",40.74358,-74.00027,"Manhattan","Entire home/apt",500,2
"244",40.80335,-73.9575,"Manhattan","Private room",80,14
"245",40.71445,-73.9908,"Manhattan","Private room",120,4
"246",40.75749,-73.96897,"Manhattan","Entire home/apt",110,200
"247",40.64446,-73.9503,"Brooklyn","Entire home/apt",65,3
"248",40.7268,-73.99079,"Manhattan","Entire home/apt",130,50
"249",40.688,-73.9171,"Brooklyn","Entire home/apt",99,3
"250",40.63536,-74.08537,"Staten Island","Private room",36,2
"251",40.63627,-74.08543,"Staten Island","Private room",37,2
"252",40.63518,-74.08546,"Staten Island","Private room",37,2
"253",40.72477,-73.98161,"Manhattan","Entire home/apt",175,3
"254",40.74238,-73.99567,"Manhattan","Entire home/apt",205,9
"255",40.72945,-73.95511,"Brooklyn","Entire home/apt",285,3
"256",40.70763,-73.95177,"Brooklyn","Private room",59,2
"257",40.63481,-74.08519,"Staten Island","Private room",36,2
"258",40.75384,-73.91433,"Queens","Entire home/apt",99,5
"259",40.64106,-73.97426,"Brooklyn","Private room",39,1
"260",40.66793,-73.98327,"Brooklyn","Private room",60,14
"261",40.81309,-73.85514,"Bronx","Private room",90,2
"262",40.88057,-73.83572,"Bronx","Entire home/apt",105,2
"263",40.68236,-73.94314,"Brooklyn","Entire home/apt",135,2
"264",40.72185,-73.98246,"Manhattan","Entire home/apt",390,5
"265",40.68503,-73.95385,"Brooklyn","Private room",70,3
"266",40.86648,-73.9263,"Manhattan","Private room",75,7
"267",40.7069,-73.95467,"Brooklyn","Private room",60,17
"268",40.72807,-73.98594,"Manhattan","Entire home/apt",200,3
"269",40.6778,-73.94339,"Brooklyn","Private room",100,3
"270",40.68317,-73.94701,"Brooklyn","Private room",70,4
"271",40.6761,-73.9529,"Brooklyn","Private room",110,6
"272",40.67586,-73.95155,"Brooklyn","Private room",60,2
"273",40.71702,-73.99811,"Manhattan","Entire home/apt",90,14
"274",40.72321,-73.98157,"Manhattan","Private room",68,2
"275",40.77956,-73.98098,"Manhattan","Entire home/apt",115,2
"276",40.68276,-73.95264,"Brooklyn","Private room",75,5
"277",40.71368,-73.9626,"Brooklyn","Private room",60,3
"278",40.72956,-73.98158,"Manhattan","Entire home/apt",129,7
"279",40.71069,-73.95175,"Brooklyn","Entire home/apt",130,10
"280",40.70863,-73.94641,"Brooklyn","Entire home/apt",95,4
"281",40.82888,-73.94307,"Manhattan","Private room",75,3
"282",40.67319,-73.97323,"Brooklyn","Entire home/apt",175,2
"283",40.67846,-73.99443,"Brooklyn","Entire home/apt",190,3
"284",40.6715,-73.94808,"Brooklyn","Private room",49,21
"285",40.72681,-73.98534,"Manhattan","Entire home/apt",212,3
"286",40.71904,-73.99392,"Manhattan","Private room",95,1
"287",40.71031,-73.9583,"Brooklyn","Entire home/apt",140,2
"288",40.81322,-73.95306,"Manhattan","Entire home/apt",135,6
"289",40.67732,-73.98225,"Brooklyn","Entire home/apt",150,2
"290",40.68076,-73.9896,"Brooklyn","Entire home/apt",190,3
"291",40.79603,-73.94903,"Manhattan","Entire home/apt",124,28
"292",40.71492,-73.96282,"Brooklyn","Entire home/apt",135,30
"293",40.80393,-73.95838,"Manhattan","Private room",122,3
"294",40.80082,-73.9652,"Manhattan","Private room",109,1
"295",40.82976,-73.94867,"Manhattan","Private room",85,30
"296",40.683,-73.91981,"Brooklyn","Entire home/apt",145,3
"297",40.78971,-73.9729,"Manhattan","Entire home/apt",195,11
"298",40.67817,-73.99495,"Brooklyn","Entire home/apt",250,2
"299",40.73119,-73.95578,"Brooklyn","Private room",125,3
"300",40.71943,-73.99627,"Manhattan","Entire home/apt",575,2
"301",40.78,-73.98249,"Manhattan","Entire home/apt",150,30
"302",40.70514,-73.91922,"Brooklyn","Private room",70,5
"303",40.86713,-73.92811,"Manhattan","Private room",90,2
"304",40.73198,-73.98881,"Manhattan","Private room",65,3
"305",40.72542,-73.97986,"Manhattan","Entire home/apt",500,2
"306",40.83494,-73.93869,"Manhattan","Entire home/apt",250,3
"307",40.71659,-73.98945,"Manhattan","Entire home/apt",125,25
"308",40.72966,-74.00243,"Manhattan","Entire home/apt",200,30
"309",40.72898,-73.95552,"Brooklyn","Entire home/apt",229,1
"310",40.87207,-73.90193,"Bronx","Entire home/apt",90,30
"311",40.77728,-73.97818,"Manhattan","Entire home/apt",110,13
"312",40.72646,-73.95341,"Brooklyn","Private room",59,3
"313",40.71015,-73.96101,"Brooklyn","Entire home/apt",195,4
"314",40.71903,-73.9597,"Brooklyn","Entire home/apt",169,1
"315",40.80892,-73.93985,"Manhattan","Entire home/apt",113,14
"316",40.80276,-73.9567,"Manhattan","Entire home/apt",250,14
"317",40.77635,-73.93426,"Queens","Entire home/apt",115,2
"318",40.72488,-73.95018,"Brooklyn","Private room",55,2
"319",40.71398,-73.95763,"Brooklyn","Private room",69,2
"320",40.71876,-73.98394,"Manhattan","Entire home/apt",150,3
"321",40.66552,-73.99019,"Brooklyn","Entire home/apt",169,2
"322",40.73749,-73.95292,"Brooklyn","Private room",179,3
"323",40.76248,-73.9913,"Manhattan","Private room",150,3
"324",40.68674,-73.98876,"Brooklyn","Entire home/apt",135,4
"325",40.6848,-73.96219,"Brooklyn","Entire home/apt",350,6
"326",40.70516,-73.95455,"Brooklyn","Private room",120,14
"327",40.72329,-73.98486,"Manhattan","Private room",71,2
"328",40.73776,-73.95327,"Brooklyn","Private room",349,3
"329",40.73738,-73.95482,"Brooklyn","Private room",349,3
"330",40.67542,-73.98142,"Brooklyn","Entire home/apt",165,30
"331",40.73842,-73.95312,"Brooklyn","Private room",249,3
"332",40.6926,-73.99832,"Brooklyn","Private room",100,3
"333",40.69441,-73.99771,"Brooklyn","Entire home/apt",200,3
"334",40.72399,-73.98374,"Manhattan","Entire home/apt",169,4
"335",40.6824,-73.94615,"Brooklyn","Entire home/apt",185,3
"336",40.68949,-73.91708,"Brooklyn","Entire home/apt",65,2
"337",40.68819,-73.97258,"Brooklyn","Entire home/apt",130,35
"338",40.7205,-73.96015,"Brooklyn","Entire home/apt",199,30
"339",40.72451,-73.98094,"Manhattan","Entire home/apt",225,2
"340",40.73813,-73.95394,"Brooklyn","Private room",179,3
"341",40.67591,-73.94715,"Brooklyn","Entire home/apt",150,5
"342",40.72843,-73.98895,"Manhattan","Entire home/apt",139,1
"343",40.71271,-73.99776,"Manhattan","Private room",95,3
"344",40.66966,-73.94735,"Brooklyn","Entire home/apt",79,15
"345",40.71965,-73.98766,"Manhattan","Entire home/apt",150,2
"346",40.68613,-73.96536,"Brooklyn","Entire home/apt",650,5
"347",40.68048,-73.94911,"Brooklyn","Entire home/apt",90,3
"348",40.68314,-73.93963,"Brooklyn","Entire home/apt",120,2
"349",40.75961,-73.91117,"Queens","Private room",80,1
"350",40.67473,-73.94494,"Brooklyn","Entire home/apt",100,90
"351",40.69305,-73.93185,"Brooklyn","Entire home/apt",175,2
"352",40.67174,-73.95663,"Brooklyn","Entire home/apt",120,5
"353",40.71055,-73.95098,"Brooklyn","Entire home/apt",140,7
"354",40.69465,-73.95458,"Brooklyn","Entire home/apt",200,5
"355",40.68413,-73.96542,"Brooklyn","Private room",165,4
"356",40.73877,-73.97707,"Manhattan","Entire home/apt",125,4
"357",40.74893,-73.99544,"Manhattan","Entire home/apt",130,30
"358",40.79406,-73.94102,"Manhattan","Shared room",65,7
"359",40.68795,-73.97332,"Brooklyn","Entire home/apt",123,30
"360",40.85295,-73.93361,"Manhattan","Private room",67,2
"361",40.72413,-73.76133,"Queens","Private room",50,1
"362",40.66918,-73.99187,"Brooklyn","Entire home/apt",130,7
"363",40.71125,-73.95613,"Brooklyn","Private room",100,3
"364",40.78558,-73.9696,"Manhattan","Entire home/apt",212,21
"365",40.71577,-73.96053,"Brooklyn","Entire home/apt",190,3
"366",40.73861,-73.95485,"Brooklyn","Private room",599,3
"367",40.72577,-73.98745,"Manhattan","Entire home/apt",249,5
"368",40.58615,-73.81245,"Queens","Private room",70,27
"369",40.67086,-73.94872,"Brooklyn","Entire home/apt",100,30
"370",40.82773,-73.95231,"Manhattan","Private room",60,3
"371",40.68505,-73.95684,"Brooklyn","Entire home/apt",135,2
"372",40.72911,-73.95493,"Brooklyn","Entire home/apt",175,3
"373",40.77944,-73.98567,"Manhattan","Entire home/apt",120,5
"374",40.74503,-73.98876,"Manhattan","Entire home/apt",169,18
"375",40.67539,-73.96093,"Brooklyn","Entire home/apt",165,7
"376",40.8054,-73.95189,"Manhattan","Private room",90,1
"377",40.78491,-73.9508,"Manhattan","Entire home/apt",225,2
"378",40.69088,-73.97307,"Brooklyn","Private room",95,2
"379",40.67555,-73.95057,"Brooklyn","Private room",55,2
"380",40.75835,-73.99193,"Manhattan","Private room",85,10
"381",40.66527,-73.9886,"Brooklyn","Entire home/apt",199,14
"382",40.71895,-73.99434,"Manhattan","Entire home/apt",211,1
"383",40.75579,-73.96699,"Manhattan","Entire home/apt",145,6
"384",40.82399,-73.95328,"Manhattan","Private room",65,14
"385",40.81822,-73.94095,"Manhattan","Entire home/apt",99,1
"386",40.76434,-73.92132,"Queens","Entire home/apt",110,4
"387",40.67705,-73.94925,"Brooklyn","Entire home/apt",80,3
"388",40.69263,-73.99438,"Brooklyn","Entire home/apt",150,30
"389",40.68448,-73.92747,"Brooklyn","Entire home/apt",110,4
"390",40.74412,-74.00208,"Manhattan","Private room",290,2
"391",40.73067,-73.98702,"Manhattan","Private room",87,2
"392",40.70665,-73.94061,"Brooklyn","Entire home/apt",190,4
"393",40.72063,-73.95952,"Brooklyn","Entire home/apt",200,2
"394",40.67644,-73.98082,"Brooklyn","Entire home/apt",165,2
"395",40.80481,-73.94794,"Manhattan","Entire home/apt",110,2
"396",40.72533,-73.99143,"Manhattan","Entire home/apt",395,2
"397",40.68569,-73.93038,"Brooklyn","Private room",99,2
"398",40.64302,-73.97255,"Brooklyn","Private room",39,1
"399",40.72939,-73.98857,"Manhattan","Entire home/apt",189,2
"400",40.79918,-73.96607,"Manhattan","Private room",85,1
"401",40.66862,-73.9926,"Brooklyn","Entire home/apt",260,30
"402",40.81333,-73.94453,"Manhattan","Entire home/apt",122,1
"403",40.72473,-73.95199,"Brooklyn","Entire home/apt",165,2
"404",40.70925,-73.85262,"Queens","Entire home/apt",97,3
"405",40.73215,-74.00922,"Manhattan","Entire home/apt",170,4
"406",40.71109,-73.94332,"Brooklyn","Entire home/apt",125,2
"407",40.7463,-73.97926,"Manhattan","Private room",130,4
"408",40.71823,-73.95849,"Brooklyn","Entire home/apt",225,10
"409",40.651,-73.94886,"Brooklyn","Private room",50,2
"410",40.68626,-73.97598,"Brooklyn","Entire home/apt",170,3
"411",40.74488,-74.001,"Manhattan","Entire home/apt",132,4
"412",40.67632,-73.97616,"Brooklyn","Entire home/apt",250,7
"413",40.72212,-73.94254,"Brooklyn","Entire home/apt",141,5
"414",40.67456,-73.95151,"Brooklyn","Entire home/apt",64,20
"415",40.71363,-73.96019,"Brooklyn","Entire home/apt",249,3
"416",40.6755,-73.95878,"Brooklyn","Private room",79,2
"417",40.72274,-73.97581,"Manhattan","Entire home/apt",185,2
"418",40.6858,-73.9828,"Brooklyn","Entire home/apt",120,3
"419",40.67535,-73.97654,"Brooklyn","Entire home/apt",495,1
"420",40.72255,-73.99346,"Manhattan","Entire home/apt",375,3
"421",40.72094,-73.99706,"Manhattan","Entire home/apt",175,3
"422",40.72485,-73.97813,"Manhattan","Entire home/apt",150,4
"423",40.80473,-73.9532,"Manhattan","Entire home/apt",259,8
"424",40.72217,-73.98419,"Manhattan","Private room",96,1
"425",40.71943,-73.9565,"Brooklyn","Entire home/apt",145,7
"426",40.74249,-74.00329,"Manhattan","Entire home/apt",200,4
"427",40.79264,-73.97294,"Manhattan","Entire home/apt",95,5
"428",40.65749,-73.97675,"Brooklyn","Entire home/apt",250,4
"429",40.80474,-73.94688,"Manhattan","Entire home/apt",295,2
"430",40.72831,-74.00177,"Manhattan","Entire home/apt",175,3
"431",40.71541,-73.94144,"Brooklyn","Entire home/apt",451,2
"432",40.79765,-73.96245,"Manhattan","Entire home/apt",165,2
"433",40.78508,-73.95332,"Manhattan","Entire home/apt",250,4
"434",40.89747,-73.8639,"Bronx","Entire home/apt",77,1
"435",40.72008,-73.98404,"Manhattan","Entire home/apt",250,4
"436",40.75725,-73.91098,"Queens","Entire home/apt",129,1
"437",40.7102,-73.94495,"Brooklyn","Private room",98,2
"438",40.67359,-73.97904,"Brooklyn","Entire home/apt",150,2
"439",40.72674,-73.9782,"Manhattan","Private room",95,7
